Billing Tag,Client,Instance,Backupset,Subclient,Storage_Policy,Copy,FEB Size,FEA Size,Primary AppSize,Protected App Size,Media Size
Azure - DEV/QA,cmsaetlsr003,Azure Resource Manager,defaultBackupSet,HOMOLOGACAO-QA,STP_AZU_HLM_CLPABKPSR006_VM,Primary,0.282,0.0,0.299,0.299,0.026
AWS - Glacier,cmsaetlsr003,DefaultInstanceName,defaultBackupSet,FS-CMSAETLSR003,#STP_DATACENTER_FS_02,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,cmsaetlsr003,DefaultInstanceName,defaultBackupSet,FS-CMSAETLSR003,#_STP_GCP_FS_FILES_NL,Primary,0.0,0.0,0.031,0.031,0.011
DCCM - OnPremisses,EGPAAGTSR001,VMware,ESTUDIOS GLOBO,CORP,#STP_DATACENTER_VM_01,Primary,0.019,0.0,0.008,0.008,0.001
DCCM - OnPremisses,CMPAAGTSR001,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.025,0.0,0.0,0.0,0.0
DCCM - OnPremisses,IOPAAGTSR001,VMware,defaultBackupSet,GSATRJ_VM_DT_VOLACI,#STP_DATACENTER_VM_01,Primary,0.032,0.0,0.047,0.047,0.007
DCCM - OnPremisses,LQPAADSSR011,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.032,0.0,0.0,0.0,0.0
DCCM - OnPremisses,CYBERSTATION01,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.103,0.0,0.0,0.0,0.0
DCCM - OnPremisses,IOPAINFSR023,DefaultInstanceName,defaultBackupSet,FS-IOPAINFSR023,#STP_DATACENTER_FS_01,1.Primary,0.0,0.0,0.0,0.0,0.0
AWS - Glacier,IOPAINFSR023,DefaultInstanceName,defaultBackupSet,FS-IOPAINFSR023,#STP_DATACENTER_FS_01,2.AWS,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,IOPAINFSR023,VMware,defaultBackupSet,GSATRJ_VM_DT_SSD,#STP_DATACENTER_VM_01,Primary,1.24,0.0,0.0,0.0,0.0
Azure - PROD,CLPADFDSR004,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.129,0.0,0.0,0.0,0.0
Azure - PROD,CLPADSVSR012,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.198,0.0,0.0,0.0,0.0
